,date,cashPrice,code
26,2018-12-28,2900,M
27,2019-01-03,2960,M
28,2019-01-04,2960,M
29,2019-01-07,3000,M
30,2019-01-08,2980,M
31,2019-01-16,2800,M
32,2019-01-17,2800,M
33,2019-01-18,2800,M
34,2019-01-21,2840,M
35,2019-01-28,2840,M
36,2019-01-29,2820,M
37,2019-01-30,2810,M
38,2019-01-31,2810,M
39,2019-02-01,2840,M
40,2019-02-11,2840,M
41,2019-02-12,2840,M
42,2019-02-13,2840,M
43,2019-02-14,2800,M
44,2019-02-15,2800,M
45,2019-02-19,2710,M
46,2019-02-20,2690,M
47,2019-02-21,2690,M
48,2019-02-22,2660,M
49,2019-02-25,2670,M
50,2019-02-26,2670,M
51,2019-02-27,2570,M
52,2019-02-28,2520,M
53,2019-03-01,2530,M
54,2019-03-04,2530,M
55,2019-03-05,2530,M
56,2019-03-06,2500,M
57,2019-03-07,2520,M
58,2019-03-08,2550,M
59,2019-03-11,2530,M
60,2019-03-12,2520,M
61,2019-03-13,2530,M
62,2019-03-14,2600,M
63,2019-03-15,2600,M
64,2019-03-19,2600,M
65,2019-03-20,2600,M
66,2019-03-21,2600,M
67,2019-03-22,2620,M
68,2019-03-27,2580,M
69,2019-03-28,2580,M
70,2019-03-29,2550,M
71,2019-04-01,2510,M
72,2019-04-03,2530,M
73,2019-04-09,2570,M
74,2019-04-10,2560,M
75,2019-04-15,2530,M
76,2019-04-16,2580,M
77,2019-04-17,2530,M
78,2019-04-18,2530,M
79,2019-04-19,2540,M
80,2019-04-23,2550,M
81,2019-04-24,2550,M
82,2019-04-25,2550,M
83,2019-04-26,2550,M
84,2019-04-29,2530,M
85,2019-04-30,2530,M
86,2019-05-06,2550,M
87,2019-05-07,2560,M
88,2019-05-09,2650,M
89,2019-05-13,2650,M
90,2019-05-14,2650,M
91,2019-05-15,2700,M
92,2019-05-16,2740,M
93,2019-05-17,2770,M
94,2019-05-20,2740,M
95,2019-05-21,2810,M
96,2019-05-22,2810,M
97,2019-05-23,2820,M
98,2019-05-24,2820,M
99,2019-05-28,2900,M
100,2019-05-29,3000,M
101,2019-05-31,3000,M
102,2019-06-03,3000,M
103,2019-06-04,3050,M
104,2019-06-10,2950,M
105,2019-06-11,2950,M
106,2019-06-12,2950,M
107,2019-06-13,3000,M
108,2019-06-14,3000,M
109,2019-06-17,3030,M
110,2019-06-18,3030,M
111,2019-06-19,2950,M
112,2019-06-20,2910,M
113,2019-06-21,2930,M
114,2019-06-24,2920,M
115,2019-06-25,2920,M
116,2019-06-26,2900,M
117,2019-06-27,2900,M
118,2019-06-28,2880,M
119,2019-07-01,2890,M
120,2019-07-02,2850,M
121,2019-07-03,2830,M
122,2019-07-04,2840,M
123,2019-07-05,2840,M
124,2019-07-08,2800,M
125,2019-07-09,2760,M
126,2019-07-10,2760,M
127,2019-07-11,2760,M
128,2019-07-12,2790,M
129,2019-07-15,2840,M
130,2019-07-16,2800,M
131,2019-07-17,2800,M
132,2019-07-18,2820,M
133,2019-07-19,2820,M
134,2019-07-22,2820,M
135,2019-07-23,2800,M
136,2019-07-24,2800,M
137,2019-07-25,2810,M
138,2019-07-26,2800,M
139,2019-07-29,2800,M
140,2019-07-30,2800,M
141,2019-07-31,2800,M
142,2019-08-01,2790,M
143,2019-08-02,2790,M
144,2019-08-05,2830,M
145,2019-08-06,2850,M
146,2019-08-07,2880,M
147,2019-08-08,2880,M
148,2019-08-09,2900,M
149,2019-08-12,2910,M
150,2019-08-13,2920,M
151,2019-08-14,2920,M
152,2019-08-15,2920,M
153,2019-08-16,2920,M
154,2019-08-19,2940,M
155,2019-08-20,2940,M
156,2019-08-21,2940,M
157,2019-08-22,2970,M
158,2019-08-23,2980,M
159,2019-08-26,3040,M
160,2019-08-27,3040,M
161,2019-08-28,3030,M
162,2019-08-29,3070,M
163,2019-08-30,3050,M
164,2019-09-02,3070,M
165,2019-09-03,3070,M
166,2019-09-04,3070,M
167,2019-09-05,3070,M
168,2019-09-06,3070,M
169,2019-09-09,2990,M
170,2019-09-10,2980,M
171,2019-09-11,2980,M
172,2019-09-12,2970,M
173,2019-09-16,2970,M
174,2019-09-17,2980,M
175,2019-09-18,2990,M
176,2019-09-19,3000,M
177,2019-09-20,3000,M
178,2019-09-23,3000,M
179,2019-09-24,3000,M
180,2019-09-25,3000,M
181,2019-09-26,3000,M
182,2019-09-27,3000,M
183,2019-09-30,3000,M
184,2019-10-08,3050,M
185,2019-10-09,3080,M
186,2019-10-10,3080,M
187,2019-10-11,3110,M
188,2019-10-14,3130,M
189,2019-10-15,3120,M
190,2019-10-16,3120,M
191,2019-10-17,3120,M
192,2019-10-18,3120,M
193,2019-10-21,3170,M
194,2019-10-22,3200,M
195,2019-10-23,3200,M
196,2019-10-24,3200,M
197,2019-10-25,3200,M
198,2019-10-28,3150,M
199,2019-10-29,3150,M
200,2019-10-30,3150,M
201,2019-10-31,3150,M
202,2019-11-01,3130,M
203,2019-11-04,3130,M
204,2019-11-05,3130,M
205,2019-11-06,3110,M
206,2019-11-07,3100,M
207,2019-11-08,3100,M
208,2019-11-11,3100,M
209,2019-11-12,3040,M
210,2019-11-13,3050,M
211,2019-11-14,3040,M
